accuracy,acc_std,recall_p,r_p_std,precision_p,p_p_std,f1_p,f1_p_std,recall_n,r_n_std,precision_n,p_n_std,f1_n,f1_n_std,tp,tn,fp,fn,c1,c2,gamma
77.22,3.49,48.10,4.39,78.43,5.71,59.40,3.52,92.98,1.95,76.78,4.89,84.03,3.12,128,465,35,140,0.25,0.125,0.5
76.57,3.40,47.08,4.99,76.95,5.25,58.14,3.76,92.62,1.24,76.36,5.08,83.61,2.97,125,463,37,143,0.25,0.125,1
71.89,5.04,41.32,5.09,66.04,5.03,50.58,3.73,88.47,3.25,73.48,6.04,80.20,4.43,109,443,57,159,0.25,0.125,2
71.23,3.83,50.72,7.29,60.14,5.62,54.71,5.71,82.39,1.41,75.65,5.77,78.76,3.30,135,412,88,133,0.25,0.125,4
77.35,3.40,59.38,8.14,71.69,4.40,64.37,2.95,87.65,1.71,79.70,6.25,83.33,3.08,156,438,62,112,0.25,0.25,0.03125
77.35,3.61,56.60,5.09,72.68,2.62,63.44,2.70,88.74,1.14,78.92,5.39,83.47,3.34,150,444,56,118,0.25,0.25,0.0625
77.35,3.82,54.01,5.79,74.42,3.35,62.33,3.40,90.14,1.79,78.21,5.44,83.67,3.46,143,451,49,125,0.25,0.25,0.125
78.65,4.11,55.62,5.62,77.57,4.20,64.54,3.41,91.33,2.31,78.96,5.44,84.61,3.58,147,457,43,121,0.25,0.25,0.25
77.09,3.57,54.19,6.49,73.70,4.41,62.09,3.30,89.81,1.50,78.19,5.60,83.49,3.14,143,449,51,125,0.25,0.25,0.5
76.83,3.26,52.17,4.89,74.30,5.06,60.93,1.63,90.41,1.93,77.62,5.34,83.42,3.07,138,452,48,130,0.25,0.25,1
71.62,3.21,47.19,7.21,62.10,5.50,53.19,5.59,84.76,2.73,74.90,5.21,79.41,3.16,126,424,76,142,0.25,0.25,2
68.89,4.66,54.31,4.87,55.57,3.32,54.77,2.88,76.78,3.73,75.44,6.36,76.05,4.82,144,385,115,124,0.25,0.25,4
76.18,4.03,62.82,7.33,67.34,2.48,64.66,2.75,83.63,3.57,80.28,5.96,81.84,4.13,166,419,81,102,0.25,0.5,0.03125
76.31,3.97,62.36,6.26,67.79,3.17,64.65,2.13,84.04,3.73,80.18,5.78,81.99,4.14,165,421,79,103,0.25,0.5,0.0625
76.57,4.03,63.10,6.29,67.89,3.07,65.18,3.06,84.06,2.89,80.50,5.75,82.18,3.97,167,421,79,101,0.25,0.5,0.125
76.31,4.32,62.21,7.69,68.02,3.30,64.58,2.91,84.25,3.88,80.11,6.30,82.03,4.35,164,422,78,104,0.25,0.5,0.25
76.83,4.28,60.33,7.19,69.97,3.57,64.42,2.94,86.08,3.28,79.71,6.18,82.68,4.13,159,431,69,109,0.25,0.5,0.5
75.66,3.23,55.50,2.07,68.81,6.30,61.26,2.46,86.56,2.92,78.17,4.72,82.08,3.31,148,433,67,120,0.25,0.5,1
71.89,4.46,51.59,6.27,61.88,3.09,55.99,3.14,83.08,2.65,75.82,6.27,79.20,4.21,136,416,84,132,0.25,0.5,2
68.10,2.69,61.03,7.20,53.42,5.05,56.71,4.75,71.93,1.60,77.45,5.75,74.49,2.96,163,360,140,105,0.25,0.5,4
75.79,4.32,73.37,7.41,63.55,3.11,67.81,2.46,77.36,4.94,83.73,6.29,80.34,4.94,194,388,112,74,0.25,1,0.03125
75.79,4.32,73.02,7.83,63.65,3.17,67.69,2.62,77.57,5.05,83.62,6.37,80.39,4.94,193,389,111,75,0.25,1,0.0625
75.92,5.11,73.15,8.71,63.77,2.66,67.89,4.10,77.73,4.59,83.64,7.04,80.51,5.34,193,390,110,75,0.25,1,0.125
74.49,3.27,72.16,4.20,61.49,3.72,66.21,1.67,75.80,4.15,83.08,5.10,79.23,4.16,192,380,120,76,0.25,1,0.25
75.01,2.93,66.57,6.84,64.00,4.81,64.77,0.66,79.96,3.87,81.25,5.79,80.46,3.46,176,400,100,92,0.25,1,0.5
73.97,4.51,56.25,4.21,64.67,7.52,59.98,4.84,83.53,4.00,77.85,5.46,80.52,4.26,150,418,82,118,0.25,1,1
72.02,4.96,59.65,6.49,60.21,2.67,59.74,3.50,78.71,4.75,77.95,6.15,78.28,5.09,158,395,105,110,0.25,1,2
67.58,3.68,69.46,4.39,52.59,6.18,59.64,4.77,66.45,5.08,80.05,5.30,72.52,4.54,186,333,167,82,0.25,1,4
72.66,1.74,82.12,5.51,57.61,4.41,67.39,1.78,67.95,2.82,87.05,5.30,76.24,2.93,218,340,160,50,0.25,2,0.03125
72.66,3.15,81.40,6.03,57.70,2.83,67.31,1.19,68.16,4.41,86.51,5.75,76.19,4.54,216,342,158,52,0.25,2,0.0625
71.88,2.02,82.76,6.17,56.64,5.02,66.90,3.04,66.37,3.41,87.32,5.30,75.31,2.95,220,332,168,48,0.25,2,0.125
73.19,3.07,82.47,6.17,58.24,4.22,67.97,2.35,68.44,4.68,87.30,5.55,76.63,4.27,219,343,157,49,0.25,2,0.25
73.96,3.61,71.53,5.18,60.89,4.84,65.51,2.91,75.48,3.90,82.73,5.87,78.86,4.18,190,378,122,78,0.25,2,0.5
73.44,5.83,61.61,6.57,61.94,5.51,61.71,5.83,79.73,4.46,79.13,6.79,79.41,5.63,164,400,100,104,0.25,2,1
72.54,3.31,62.95,7.62,60.32,3.17,61.22,2.47,78.15,1.65,79.29,6.44,78.61,3.47,166,391,109,102,0.25,2,2
67.06,2.42,70.33,4.11,51.71,4.59,59.49,3.98,64.93,4.50,80.23,4.27,71.73,4.12,189,326,174,79,0.25,2,4
67.84,2.83,89.55,6.26,52.21,6.22,65.60,5.12,56.48,3.32,90.91,5.49,69.51,2.23,239,282,218,29,0.25,4,0.03125
68.10,3.55,87.45,6.51,52.70,6.73,65.29,5.17,58.14,5.16,89.45,5.40,70.22,3.45,233,290,210,35,0.25,4,0.0625
70.57,0.79,89.04,4.88,54.62,5.04,67.45,3.81,60.71,3.09,91.09,4.23,72.75,2.11,238,304,196,30,0.25,4,0.125
72.79,2.15,82.27,6.13,57.79,4.79,67.53,2.33,67.55,7.01,87.65,3.93,76.02,4.41,220,339,161,48,0.25,4,0.25
71.75,4.93,63.04,5.68,59.11,5.48,60.76,3.90,76.62,4.82,78.95,6.57,77.71,5.21,167,384,116,101,0.25,4,0.5
72.27,4.21,63.71,4.35,59.65,4.64,61.46,3.17,76.51,5.82,79.56,4.83,77.93,4.82,171,384,116,97,0.25,4,1
72.14,4.12,64.47,3.57,59.24,4.43,61.61,3.01,76.15,4.78,79.63,5.57,77.82,4.88,172,382,118,96,0.25,4,2
66.79,2.01,69.17,6.62,51.93,7.17,58.78,5.01,65.72,5.42,79.99,4.06,71.89,2.33,185,328,172,83,0.25,4,4
67.05,1.64,92.03,4.69,51.30,5.45,65.66,4.82,53.45,4.64,93.14,3.78,67.69,2.90,247,268,232,21,0.25,8,0.03125
66.80,1.82,88.64,5.75,51.36,5.42,64.67,3.95,55.44,2.82,89.74,5.23,68.40,1.99,236,277,223,32,0.25,8,0.0625
67.97,2.07,89.23,3.51,52.25,4.52,65.71,3.22,56.33,6.17,90.64,3.08,69.26,4.66,239,283,217,29,0.25,8,0.125
71.23,2.30,76.03,4.28,56.50,5.20,64.54,2.93,68.69,4.62,83.96,4.26,75.45,3.49,203,344,156,65,0.25,8,0.25
71.88,3.65,64.46,5.09,58.42,4.76,61.25,4.66,75.31,4.84,79.81,4.16,77.47,4.34,174,378,122,94,0.25,8,0.5
74.23,3.34,61.82,3.47,63.15,4.71,62.40,3.41,80.27,5.66,79.65,3.34,79.92,4.37,167,403,97,101,0.25,8,1
69.14,1.75,67.43,4.84,54.53,5.11,60.02,3.26,70.14,2.79,79.86,4.64,74.61,2.67,180,351,149,88,0.25,8,2
66.93,2.66,72.62,7.59,52.03,4.37,60.13,2.04,64.03,6.84,80.99,6.03,71.26,5.03,193,321,179,75,0.25,8,4
65.87,6.24,89.08,4.68,51.25,9.18,64.34,6.99,54.06,9.45,90.44,3.19,66.98,6.42,238,268,232,30,0.25,16,0.03125
67.05,3.70,89.65,5.17,51.69,6.49,65.17,4.74,54.95,7.71,91.08,3.58,68.10,5.25,240,275,225,28,0.25,16,0.0625
68.49,3.11,88.24,3.12,52.88,6.50,65.80,5.10,58.03,4.79,90.02,3.38,70.42,3.48,236,290,210,32,0.25,16,0.125
73.45,4.47,68.95,4.15,60.60,3.83,64.37,2.56,75.37,6.82,81.66,4.91,78.32,5.55,185,379,121,83,0.25,16,0.25
72.02,4.11,64.60,4.64,58.92,3.21,61.53,3.12,75.98,3.24,79.66,5.91,77.75,4.45,172,381,119,96,0.25,16,0.5
70.70,3.59,60.11,4.88,57.52,9.00,58.55,6.34,75.85,6.53,78.11,2.74,76.87,4.29,163,380,120,105,0.25,16,1
72.40,2.13,64.47,4.57,59.70,6.47,61.63,3.49,76.48,5.34,80.00,3.85,78.08,3.47,173,383,117,95,0.25,16,2
65.37,2.98,70.71,2.95,50.11,3.55,58.50,2.14,62.28,5.48,79.45,5.35,69.77,5.17,189,313,187,79,0.25,16,4
74.10,3.74,43.03,6.44,71.28,6.83,53.28,5.85,90.76,2.59,74.75,5.04,81.89,3.35,115,454,46,153,0.5,0.0625,0.03125
74.49,3.77,43.03,6.44,72.47,6.39,53.66,5.99,91.36,2.16,74.88,5.02,82.22,3.30,115,457,43,153,0.5,0.0625,0.0625
74.36,4.35,40.98,7.29,74.54,6.83,52.30,6.18,92.34,2.92,74.38,5.52,82.28,3.73,109,462,38,159,0.5,0.0625,0.125
73.18,4.57,29.53,6.43,81.23,7.67,43.05,7.69,96.61,0.92,71.88,5.20,82.32,3.49,79,483,17,189,0.5,0.0625,0.25
73.45,4.91,29.84,6.17,84.01,5.60,43.67,6.81,96.97,1.39,71.95,5.55,82.50,3.78,79,485,15,189,0.5,0.0625,0.5
73.71,4.10,37.03,4.91,75.70,5.59,49.35,3.74,93.59,1.71,73.34,5.43,82.12,3.42,98,468,32,170,0.5,0.0625,1
73.44,2.87,40.89,4.66,71.34,7.17,51.46,2.50,90.99,3.02,74.06,4.77,81.55,2.92,109,455,45,159,0.5,0.0625,2
69.93,4.82,39.19,10.70,60.43,8.92,46.60,10.44,86.99,2.51,72.78,6.43,78.99,3.23,103,434,66,165,0.5,0.0625,4
75.14,3.81,46.42,5.47,72.94,5.58,56.35,3.59,90.78,2.32,75.76,5.44,82.48,3.42,123,454,46,145,0.5,0.125,0.03125
74.62,3.91,44.80,5.97,72.22,6.02,54.89,4.60,90.76,2.59,75.25,5.37,82.18,3.51,119,454,46,149,0.5,0.125,0.0625
75.40,4.12,45.39,3.66,74.70,7.81,56.18,3.16,91.52,3.49,75.59,5.13,82.72,3.83,121,458,42,147,0.5,0.125,0.125
74.62,4.63,34.99,5.69,82.93,6.03,48.83,5.34,96.22,1.38,73.23,5.73,83.03,3.61,92,481,19,176,0.5,0.125,0.25
75.39,4.12,37.78,7.55,81.75,6.84,51.22,7.90,95.57,1.99,74.08,4.98,83.37,3.28,101,478,22,167,0.5,0.125,0.5
74.61,2.64,40.76,5.25,74.90,6.24,52.43,4.53,92.85,1.30,74.47,4.56,82.55,2.39,109,464,36,159,0.5,0.125,1
70.84,3.11,40.13,4.62,63.54,6.95,48.66,1.92,87.68,2.71,73.04,5.46,79.54,2.95,106,438,62,162,0.5,0.125,2
70.58,4.56,50.35,8.78,59.32,8.02,53.88,7.15,81.92,2.86,75.39,6.54,78.31,3.60,133,409,91,135,0.5,0.125,4
76.18,3.50,50.25,4.81,73.37,4.37,59.35,2.85,90.41,0.93,76.99,5.42,83.05,3.10,133,452,48,135,0.5,0.25,0.03125
76.57,3.90,49.16,3.50,75.24,0.64,59.38,2.51,91.29,1.51,76.82,4.99,83.37,3.48,131,457,43,137,0.5,0.25,0.0625
76.96,3.89,46.96,4.11,78.47,5.40,58.60,3.77,93.16,1.90,76.43,5.03,83.90,3.40,125,466,34,143,0.5,0.25,0.125
76.96,3.57,47.10,4.47,78.63,4.59,58.66,2.88,93.18,1.65,76.46,5.08,83.90,3.14,125,466,34,143,0.5,0.25,0.25
76.70,3.68,45.50,5.71,79.00,6.79,57.39,4.98,93.61,2.08,76.06,5.07,83.83,3.13,121,468,32,147,0.5,0.25,0.5
75.66,3.74,47.21,8.41,73.96,5.25,57.03,6.25,91.23,2.29,76.16,5.44,82.88,3.02,125,456,44,143,0.5,0.25,1
71.88,1.70,46.72,6.19,63.81,9.62,53.14,4.99,85.55,4.21,74.98,4.39,79.74,1.98,125,427,73,143,0.5,0.25,2
71.36,3.21,56.62,4.68,59.22,6.42,57.66,4.59,79.40,1.67,77.20,5.33,78.20,3.16,151,397,103,117,0.5,0.25,4
77.35,3.49,56.16,4.27,72.96,2.99,63.28,1.92,88.92,1.69,78.78,5.17,83.48,3.34,149,445,55,119,0.5,0.5,0.03125
77.48,3.54,55.41,4.62,73.75,2.72,63.11,2.42,89.53,1.46,78.62,5.15,83.66,3.30,147,448,52,121,0.5,0.5,0.0625
77.87,3.73,54.69,5.19,75.42,3.60,63.21,3.27,90.54,1.66,78.54,5.21,84.05,3.35,145,453,47,123,0.5,0.5,0.125
77.87,4.02,54.87,6.05,75.79,4.86,63.32,3.23,90.53,2.70,78.55,5.54,84.03,3.62,145,453,47,123,0.5,0.5,0.25
77.22,3.52,52.74,5.92,75.26,5.20,61.59,2.59,90.84,1.79,77.87,5.64,83.73,3.10,139,454,46,129,0.5,0.5,0.5
75.92,3.32,52.16,2.72,71.13,4.00,60.06,1.80,88.73,1.83,77.36,4.82,82.60,3.25,139,444,56,129,0.5,0.5,1
71.75,2.66,51.99,6.33,61.19,6.22,55.78,4.26,82.68,1.56,76.11,5.39,79.12,2.48,138,413,87,130,0.5,0.5,2
69.93,2.39,63.26,8.43,56.36,4.48,59.00,2.72,74.06,3.26,78.73,6.51,76.10,2.80,167,370,130,101,0.5,0.5,4
75.79,3.90,61.62,6.57,66.91,2.92,63.85,2.41,83.65,3.30,79.82,5.79,81.61,3.98,163,419,81,105,0.5,1,0.03125
76.05,4.21,61.99,6.48,67.39,2.72,64.30,2.54,83.81,3.82,79.97,5.85,81.78,4.30,164,420,80,104,0.5,1,0.0625
76.18,4.61,62.40,6.07,67.51,2.91,64.65,3.00,83.79,3.83,80.09,5.97,81.85,4.57,165,420,80,103,0.5,1,0.125
75.79,4.29,61.44,6.98,67.10,3.23,63.80,2.77,83.87,3.28,79.73,6.30,81.66,4.24,162,420,80,106,0.5,1,0.25
75.92,3.96,54.43,7.54,70.78,5.62,60.97,3.17,88.01,2.84,77.89,6.25,82.49,3.60,143,440,60,125,0.5,1,0.5
72.53,2.83,48.78,5.55,65.10,8.66,54.99,2.16,85.76,4.52,75.57,5.29,80.13,2.77,129,428,72,139,0.5,1,1
71.75,2.28,61.64,7.19,59.27,4.90,59.93,2.93,77.35,3.93,78.81,5.12,77.94,2.92,164,387,113,104,0.5,1,2
67.84,4.10,64.97,7.18,53.11,7.00,58.11,6.22,69.64,2.73,78.64,6.46,73.74,3.72,173,348,152,95,0.5,1,4
75.79,3.87,72.35,7.93,63.64,1.61,67.44,2.48,78.03,2.74,83.38,6.42,80.56,4.12,191,391,109,77,0.5,2,0.03125
75.14,4.40,71.01,7.04,63.02,2.12,66.54,2.34,77.51,5.11,82.66,6.03,79.93,5.03,188,389,111,80,0.5,2,0.0625
75.66,3.60,73.19,5.84,63.24,3.13,67.60,1.20,77.20,4.24,83.70,5.67,80.26,4.35,194,387,113,74,0.5,2,0.125
73.83,2.33,70.30,7.82,61.48,6.28,64.86,1.39,76.25,5.40,82.39,5.86,78.95,3.19,186,381,119,82,0.5,2,0.25
75.01,3.40,58.68,6.71,66.83,6.83,61.83,2.22,84.21,4.38,78.84,5.85,81.27,3.55,155,421,79,113,0.5,2,0.5
73.32,5.14,53.52,7.28,64.61,3.57,58.20,4.34,84.24,3.53,76.78,6.61,80.24,4.68,141,422,78,127,0.5,2,1
70.97,2.98,62.43,9.15,58.47,7.34,59.54,3.60,76.46,4.48,78.84,6.69,77.32,2.65,164,381,119,104,0.5,2,2
70.71,3.60,70.25,3.45,56.27,4.70,62.38,3.59,70.77,4.49,81.32,4.99,75.65,4.46,188,355,145,80,0.5,2,4
72.93,3.16,82.45,5.82,57.92,4.36,67.76,2.52,68.04,4.68,87.20,5.52,76.35,4.39,219,341,159,49,0.5,4,0.03125
71.75,2.88,79.87,5.90,57.00,5.47,66.08,2.56,67.75,5.27,85.72,5.62,75.52,4.09,212,339,161,56,0.5,4,0.0625
73.71,4.57,80.32,4.65,59.08,2.41,68.01,2.53,69.98,6.08,86.23,5.84,77.23,5.92,214,352,148,54,0.5,4,0.125
73.97,3.81,72.43,8.78,60.94,3.72,65.73,2.76,74.96,5.98,83.10,6.29,78.65,4.83,192,376,124,76,0.5,4,0.25
72.92,2.63,46.23,4.99,66.60,8.84,54.00,3.46,87.49,3.65,75.09,4.81,80.67,2.66,123,437,63,145,0.5,4,0.5
71.88,2.58,52.86,4.72,60.97,5.13,56.41,3.42,81.92,3.29,76.40,4.40,78.98,3.03,142,410,90,126,0.5,4,1
70.58,2.39,62.49,4.49,56.94,4.20,59.39,2.81,74.88,2.61,78.66,4.95,76.66,3.18,167,375,125,101,0.5,4,2
66.92,3.03,65.91,4.83,52.41,7.56,57.83,4.78,67.74,6.12,78.65,4.31,72.54,3.51,176,338,162,92,0.5,4,4
70.97,4.07,84.15,4.98,55.54,3.81,66.76,2.87,63.89,5.92,87.51,5.27,73.79,5.57,224,321,179,44,0.5,8,0.03125
72.01,2.46,80.10,4.92,56.98,3.61,66.37,1.70,67.82,3.53,85.82,5.11,75.73,3.80,213,340,160,55,0.5,8,0.0625
73.06,4.17,77.79,4.57,58.64,3.92,66.72,2.74,69.95,7.87,85.33,3.90,76.70,5.80,209,352,148,59,0.5,8,0.125
72.40,3.82,62.27,10.43,60.84,5.46,60.69,3.66,78.36,5.27,79.13,6.97,78.51,4.13,164,392,108,104,0.5,8,0.25
72.26,4.46,46.21,11.85,62.53,10.17,52.77,10.93,85.41,4.79,75.13,4.24,79.88,3.91,127,428,72,141,0.5,8,0.5
73.45,4.27,54.56,1.67,64.59,6.74,58.91,1.72,83.38,5.36,77.14,4.75,80.08,4.50,146,418,82,122,0.5,8,1
68.75,1.51,65.45,7.91,53.85,5.26,58.79,5.45,70.26,3.81,79.29,4.29,74.38,2.72,176,352,148,92,0.5,8,2
67.84,3.32,71.34,3.10,53.05,6.09,60.51,3.65,66.16,4.98,80.75,5.32,72.62,4.21,190,331,169,78,0.5,8,4
70.18,1.50,77.57,8.72,55.60,5.98,64.05,2.09,66.97,5.23,84.49,6.50,74.36,2.34,205,334,166,63,0.5,16,0.03125
71.23,3.48,79.63,8.67,56.44,3.39,65.62,1.66,66.65,7.91,85.72,5.90,74.65,5.47,212,335,165,56,0.5,16,0.0625
72.01,3.25,72.75,4.32,58.06,4.91,64.26,1.71,71.58,6.32,82.66,4.68,76.59,4.77,194,359,141,74,0.5,16,0.125
73.18,4.97,50.17,8.40,64.97,4.44,56.25,6.36,85.67,3.00,76.03,6.37,80.46,4.42,133,429,71,135,0.5,16,0.25
72.93,4.76,50.94,4.95,64.65,4.95,56.72,3.04,84.83,3.96,76.00,5.86,80.10,4.51,135,425,75,133,0.5,16,0.5
71.09,2.81,56.74,3.43,58.61,9.32,57.45,6.16,78.66,3.63,77.25,3.36,77.89,2.62,153,393,107,115,0.5,16,1
71.23,2.57,64.84,5.47,58.05,8.25,60.74,5.16,74.64,5.86,79.87,3.79,76.98,3.18,174,373,127,94,0.5,16,2
68.11,3.15,72.27,5.98,53.14,4.00,60.95,2.65,65.74,6.18,81.26,5.38,72.53,4.95,193,330,170,75,0.5,16,4
72.41,4.67,30.77,7.16,78.38,8.22,43.25,6.85,94.95,2.75,71.76,5.75,81.61,3.82,81,475,25,187,1,0.0625,0.03125
72.93,4.42,31.12,7.24,80.43,7.67,43.96,7.06,95.59,2.36,72.01,5.64,82.00,3.57,82,478,22,186,1,0.0625,0.0625
73.06,3.87,29.82,6.22,83.44,10.81,43.05,6.35,96.44,2.18,71.86,5.24,82.22,3.15,79,482,18,189,1,0.0625,0.125
71.10,4.48,19.37,5.31,87.74,12.04,31.53,7.67,98.85,1.06,69.59,4.99,81.56,3.32,52,494,6,216,1,0.0625,0.25
71.36,4.92,22.51,5.05,83.34,8.22,35.17,6.68,97.55,1.67,70.08,5.31,81.47,3.82,60,488,12,208,1,0.0625,0.5
71.49,4.10,28.35,3.61,74.43,5.70,40.77,3.23,94.82,1.15,71.07,5.31,81.12,3.32,75,474,26,193,1,0.0625,1
72.40,4.36,38.76,5.05,69.40,6.15,49.29,3.31,90.79,2.46,73.24,5.84,80.94,3.69,102,454,46,166,1,0.0625,2
67.99,6.58,32.30,9.71,57.07,5.78,40.69,9.70,87.49,2.91,70.55,7.07,77.93,4.91,84,438,62,184,1,0.0625,4
73.84,4.59,35.55,7.03,78.74,6.71,48.27,6.27,94.54,2.58,73.10,5.66,82.33,3.77,94,473,27,174,1,0.125,0.03125
74.49,4.89,36.12,7.83,81.08,6.61,49.26,7.35,95.39,2.09,73.42,5.96,82.84,3.83,95,477,23,173,1,0.125,0.0625
74.62,4.20,35.40,8.17,82.74,6.96,48.70,7.62,96.08,1.73,73.38,5.75,83.04,3.18,93,480,20,175,1,0.125,0.125
71.88,4.55,26.19,3.81,80.68,7.26,39.26,3.76,96.60,1.52,70.81,5.47,81.60,3.59,69,483,17,199,1,0.125,0.25
74.23,4.01,32.53,4.13,83.87,5.17,46.66,4.33,96.55,1.70,72.66,4.86,82.84,3.37,87,483,17,181,1,0.125,0.5
72.79,4.05,33.93,4.80,74.31,5.15,46.31,4.45,93.79,1.31,72.46,5.23,81.65,3.32,90,469,31,178,1,0.125,1
70.84,6.68,40.55,9.87,63.17,7.23,48.91,8.46,87.72,2.61,73.01,7.63,79.54,5.19,105,439,61,163,1,0.125,2
71.63,4.81,44.17,8.92,63.60,2.28,51.59,6.18,86.77,1.69,74.19,6.61,79.81,3.86,116,434,66,152,1,0.125,4
74.62,4.48,38.16,9.82,79.40,5.19,50.42,8.21,94.67,2.04,73.96,6.14,82.84,3.30,100,473,27,168,1,0.25,0.03125
74.88,4.47,36.27,8.19,81.23,2.65,49.62,7.93,95.57,1.10,73.67,5.29,83.10,3.42,97,478,22,171,1,0.25,0.0625
73.84,5.20,32.16,6.46,83.29,6.56,45.98,6.36,96.60,1.52,72.44,6.06,82.66,3.95,84,483,17,184,1,0.25,0.125
75.27,4.39,39.44,4.28,80.03,5.64,52.59,3.61,94.80,1.40,74.28,5.60,83.18,3.57,104,474,26,164,1,0.25,0.25
76.30,3.56,40.30,7.46,83.01,7.42,53.70,7.49,95.60,2.18,74.90,4.69,83.90,2.92,108,478,22,160,1,0.25,0.5
74.22,4.29,41.29,9.96,73.20,7.60,52.05,8.50,92.27,1.70,74.47,5.89,82.26,3.16,109,461,39,159,1,0.25,1
70.70,3.72,44.16,7.23,61.63,7.00,50.83,4.46,85.50,2.60,73.86,6.15,79.07,3.19,116,427,73,152,1,0.25,2
71.23,3.38,49.96,6.08,60.93,4.12,54.48,2.27,82.72,4.25,75.40,5.28,78.73,3.46,133,414,86,135,1,0.25,4
76.83,4.12,47.56,5.85,77.70,4.06,58.74,4.53,92.75,1.67,76.50,5.40,83.76,3.50,126,464,36,142,1,0.5,0.03125
76.57,3.70,46.55,3.59,77.37,5.36,57.99,3.27,92.76,1.90,76.22,4.87,83.61,3.28,124,464,36,144,1,0.5,0.0625
77.09,3.41,46.70,4.11,78.84,5.73,58.52,4.11,93.36,1.92,76.46,4.53,84.01,3.08,125,467,33,143,1,0.5,0.125
77.48,3.81,50.48,3.95,77.47,6.15,60.93,3.15,92.18,2.20,77.39,5.12,84.06,3.35,134,461,39,134,1,0.5,0.25
77.09,3.20,46.13,4.07,79.75,5.31,58.23,3.15,93.50,2.78,76.34,4.15,84.00,3.10,124,468,32,144,1,0.5,0.5
73.57,3.61,42.20,4.67,69.60,6.98,52.45,5.16,90.39,1.38,74.40,4.72,81.55,3.05,113,452,48,155,1,0.5,1
